[ 2025-08-14 18:00:48,728] 18 root -INFO - Initiate the data ingestion 
[ 2025-08-14 18:00:52,826] 68 root -INFO -  Performed train test Split on the dataframe
[ 2025-08-14 18:00:52,826] 70 root -INFO -  Exited split_data_as_train_test method of the data ingestion class
[ 2025-08-14 18:00:52,827] 78 root -INFO - Exporting train data and test file path 
[ 2025-08-14 18:00:52,897] 87 root -INFO - Exported train data and test file path 
[ 2025-08-14 18:00:52,898] 20 root -INFO - Data ingestion is completed
[ 2025-08-14 18:00:52,907] 25 root -INFO - Initiate the data validation 
[ 2025-08-14 18:00:52,968] 37 root -INFO -  Required number of columns: 2
[ 2025-08-14 18:00:52,968] 38 root -INFO - Data frame has columns: 31
[ 2025-08-14 18:00:53,138] 27 root -INFO -  Data validation Completed
[ 2025-08-14 18:00:53,139] 32 root -INFO - Data transformation Started
[ 2025-08-14 18:00:53,139] 58 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-14 18:00:53,139] 60 root -INFO - Starting data transformation...
[ 2025-08-14 18:00:53,171] 42 root -INFO - Creating a data transformer object for data transformation class
[ 2025-08-14 18:00:53,171] 48 root -INFO -  Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2025-08-14 18:00:53,185] 47 root -INFO - Entered save_object method od mainUtils class 
[ 2025-08-14 18:00:53,187] 51 root -INFO - Exited the save_object method od mainUtils class 
[ 2025-08-14 18:00:53,190] 36 root -INFO -  Data Transformation Completed 
[ 2025-08-14 18:00:53,190] 39 root -INFO - Model Training Started
